company_name,text,label
ABCYA,"If you would like to request that ABCya delete any Personal Information we may have about your Child (such as first name and contact information prior to the Platform's one-time use) or if you would like to request that the Platform make no further collection of Personal Information from your Child, please contact",1
Science Museum Group,we may collect the following information... excluding information about children unless provided by that individual,0
Science Museum Group,"To exercise your rights [to review or delete personal data], please use the contact details provided under the ‘Contact Us about your personal information’ section below",1
Bookful,your child’s age range... Bookful is a kids app therefore we cannot collect any PSI from our users. No matter their age,0
Bookful,You may edit or delete information in your user account,1
Bookful,"You may request access to the personal information that we have collected on your account, via support and ask us to change or delete it",1
Bookful,"Delete personal information and account- we have a defined process with our support team, all they need to do is contact our support and let us know",1
InBento,We do not knowingly collect personally identifiable information from anyone under the age of 18.,0
InBento,"If you are a parent or guardian and you are aware that your Child has provided us with Personal Data, please contact us",1
InBento,"If we become aware that we have collected Personal Data from children without verification of parental consent, we take steps to remove that information from our servers",1
123 Kids Academy,We do not sell the personal information of Consumers We actually know are less than 16 years of age,0
123 Kids Academy,"unless We receive affirmative authorization (the 'right to opt-in') from either the Consumer who is between 13 and 16 years of age, or the parent or guardian of a Consumer less than 13 years of age",0
123 Kids Academy,"If You have reason to believe that a child under the age of 13 (or 16) has provided Us with personal information, please contact Us with sufficient detail to enable Us to delete that information",1
123 Kids Academy,"Based on the applicable laws of your country, you may have the right to request access to the personal information we collect from you, change that information, or delete it in some circumstances. To request to review, update, or delete your personal information",1
iCivics,"Consistent with the Children's Online Privacy Protection Act of 1998 ('COPPA'), we will never knowingly request personally identifying information from anyone under the age of 13 without prior verifiable parental consent",0
iCivics,"If a child under the age of 13 wishes to sign up for a user account on our Website, he or she must first obtain parental approval and provide a parent's email address for confirmation",0
iCivics,"If you provide iCivics with personal information, you may access and edit this information at any time by visiting the “Edit Account” link at the top right corner of the Website",1
iCivics,"If you would like to request deletion of your account, please email us at feedback@iCivics.org",1
Chuggington,"We may collect information such as your first and last name, home or other physical address, email address, telephone number, date of birth and other information that permits you to be contacted physically or online, and other information, including information about your interactions with us or others",0
Chuggington,"You may also provide us information about others, e.g., when purchasing tickets or registering for an event",0
Chuggington,We may collect payment information when you transact with us,0
Chuggington,"you have the right to receive: a) information identifying any third party company(ies) to whom we may have disclosed, within the previous calendar year",1
Chuggington,your Personally Identifiable Information for that company's direct marketing purposes,1
Chuggington,a description of the categories of Personally Identifiable Information disclosed,1
Chuggington,"To obtain such information, please email your request to info@hfecorp.com",1
Sesame Workshop,"Visitors can provide their first name, a friend’s first name and friend’s email address to send a feature of a Children’s Platform to the friend via email",0
Sesame Workshop,We use such information only to fulfill the visitor’s request and do not store that information for any longer than reasonably necessary to send the relevant email,0
Sesame Workshop,"When visitors on our Children’s Platforms wish to sign up to receive our email newsletters, we will ask for a parent’s first name and email address",0
Sesame Workshop,We will send a notification email to the parent and give the parent the option to decline the newsletter,0
Sesame Workshop,We do not make personal information collected from children publicly available nor do we enable children to so on our Platforms,0
Sesame Workshop,"Parents may contact us to review, update or delete any of their children’s personal information that we may have collected and to elect for us not to collect any additional personal information from their children",1
Sesame Workshop,Parents may contact us (at dotorgmail@sesame.org),1
Amaya Kids,Child users do not have the ability to provide any personal information when using the Games beyond what has collected automatically (as noted above),0
Amaya Kids,We do not make personal information collected from children publicly available nor do we enable children to so on our Platforms,0
Mattel,"We do not collect personal contact information from children at Mattel Services directed to children without the consent of a parent or legal guardian, except in limited circumstances authorized by law",0
Mattel,We do not knowingly sell the personal information of minors under 16 years of age,0
Sagomini,We collect non-personal data indirectly from the following third-party analytics providers,0
Sagomini,These third parties do not share your user data; they are used to support the operation of our apps,0
Sagomini,"If you want to opt out of services, or review or delete you or your child’s information, please contact us at privacy@sagosago.com",1
Scratch Jr,"Where applicable, we indicate whether and why you must provide us with your Personal Information, as well as the consequences of failing to do so",0
Scratch Jr,Deleting your information. You can delete your projects by deleting the App from your device,1
Crayola,To play our apps we do not collect any personal data from you,0
Crayola,Right of Deletion - You can ask a company to delete any information they may have about you,1
BabyBus,Email Address To create your account for the App as per your request With your consent,0
BabyBus,You have the right to delete your personal information,1
Path of Giants,The Service is not directed to children under the age of 13,0
Path of Giants,"we allow children below the age of 13 to use the Service, we do not knowingly collect personal information from children under the age of 13 without first obtaining verifiable parental consent",0
Path of Giants,"If we learn that we inadvertently collected personal information from a children under the age of 13 without first obtaining verifiable parental consent, we will delete that information as quickly as possible",1
Path of Giants,"If you are a parent or guardian of a child who you believe provided Journey Bound with personal information without your consent, please contact us at contact@journeyboundgames.com",1
Wollstonecraft,We do not knowingly collect personal information from children under the age of 13 yeras old,0
Wollstonecraft,"If a user is identified as under 13 years old, we will not collect or use any information of this user and we will delete any information already recieved in a secure manner",1
Wollstonecraft,"If you have any questions about our privacy policy, contact us by email at info@hololabs.org",1
Prodigy,We do not disclose the personal information of Students to third parties for marketing or promotional purposes,0
Prodigy,"We use all User information we collect for the following purposes: To monitor, maintain, analyze and improve functionality of Services",0
Prodigy,"may contact our customer support at any time to request access to, deletion of, or correction of any personal information we have collected from or about Student Users associated with their account",1
Prodigy,including a request to us to cease collecting personal information from those Student Users,1
Prodigy,"For information on how consumers can ask questions or file complaints related to Prodigy's Privacy Policy and practices, please email COPPAPrivacy@ikeepsafe.org",1
Balloon Crush,We do not knowingly collect personally identifiable information from anyone under the age of 13,0
Balloon Crush,Our Service may contain links to other websites that are not operated by Us,0
Balloon Crush,"If You click on a third party link, You will be directed to that third party's site. We strongly advise You to review the Privacy Policy of every site You visit",0
Balloon Crush,"If We become aware that We have collected Personal Data from anyone under the age of 13 without verification of parental consent, We take steps to remove that information from Our servers",1
Balloon Crush,"If you have any questions about this privacy Policy, You can contact us: By email: pradyuishere@gmail.com",1
Crescent Moon Games,We do not knowingly collect personally identifiable information from children under 13,0
Crescent Moon Games,"In the case we discover that a child under 13 has provided us with personal information, we immediately delete this from our servers",1
Crescent Moon Games,"If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact us so that we will be able to do necessary actions",1
Adventuring Academy,"from Child Users, we may collect information about patterns of usage such as which activities a child commences and completes, when a child starts and stops an activity, and which areas of the Services the child frequents",0
Adventuring Academy,The information collected through these technical methods on the child-directed portions of the Services are used only to support the internal operations of the Services,0
Adventuring Academy,"In addition, Adult Users may contact us at any time as described in Section 13 (Contact Us) below to request that we provide for their review, or delete from our records, any PI they have provided about Child Users associated with their Accounts, or to cease collecting PI from those Child Users, as applicable",1
Animal Jam,"We collect what is reasonably necessary for us to provide children with access to Animal Jam, such as a username, password, demographic information, and a parental email address",0
Animal Jam,"For example, if you or your child submits Information in order to create an account with us, or otherwise contacts us directly",0
Animal Jam,"You may also request that we no longer collect Personal Information from your child, or have us delete your child's Personal Information we have collected",1
IDZ Digital,We do not knowingly collect or solicit personal data about or direct or target interest-based advertising to anyone under the age of 13 or knowingly allow such persons to use our Services,0
IDZ Digital,"If we learn that we have collected personal data about a child under age 13, we will delete that data as quickly as possible",1
IDZ Digital,"If a parent/guardian becomes aware that a child under the age of 13 has attempted to contact and/or do business with us, please advise us by email at support@idzdigital.com so that we may rectify the situation",1
Infinity Games,We do not knowingly collect personally identifiable information from children under 16,0
Infinity Games,"If we become aware that we have collected Personal Information from a child under age 16 without verification of parental consent, we will take steps to remove that information from our servers",1
Infinity Games,"If you are a parent or guardian and you are aware that your Children has provided us with Personal Information, please contact us",1
E One,"Accordingly, we do not generally expect to collect personal information directly from any children, except at the direction of a parent/guardian",0
E One,"Limited children’s information if you permit, including name(s), date(s) of birth and gender, as well as any information you (or your child) submit as part of a promotion or competition",0
E One,"If you believe we have collected personal information from a child under 13 without parental consent, please let us know via the contact information below and we will endeavor to promptly delete it",1
E One,"If you have such concerns, we request that you initially contact us (using the contact details below) so that we can investigate, and hopefully resolve, your concerns",1
SpeedyMind,We follow the COPPA (Children’s Online Privacy Protection Act) compliant privacy practices. We do not collect any identifying data from kids,0
SpeedyMind,You have the right to request the erase your Personal Information under certain conditions of this Policy,1
SpeedyMind,"If you wish to be informed what Personal Information we hold about you and if you want it to be removed from our systems, please contact us",1
Budge Studios,Budge Studios does not knowingly collect personal information as defined by COPPA from children through its Sites or Programs,0
Budge Studios,"We collect, use and share personal information from children through our Apps as follows:",0
Budge Studios,"Additionally, any parent has the right to: (1) review, correct, or delete the child's personal information; and/or (2) discontinue further collection, use, or sharing of the child's personal information",1
Budge Studios,"If you are a parent or guardian and believe that we have collected your child's personal information in violation of COPPA, please contact us as set out in the How Do I Contact Budge Studios? Section, and we will remove such information to the extent required by COPPA",1
Amanita Design,"We do not collect, process or store any personal data from any of our games on any platform",0
Amanita Design,Parents can learn more about how we handle data by contacting us at email address below,1
NjoyKidz,"We do not ask for or collect any child-specific data like concrete name and surname, location, school, etc., anywhere on the Platform",0
NjoyKidz,We may ask for your child’s interests but that is just to personalize your child’s experience on the Platform and show them the relevant and appropriate content,0
Yateland,"We don’t knowingly collect personal information from children under the age of 13 in violation of COPPA, and if in the event that a user identifies himself or herself as a child under the age of 13 through a support request",0
Yateland,"we will not collect, store or use, and will delete in a secure manner, any personal information of such user",0
American Heart Association,"With parental consent, we may collect information from children under the age of 13 such as: name, address, email address, account information, school, messages sent to us through our chat interface, and content they create themselves",0
American Heart Association,Children under the age of 13 may be able to make certain content such as content they create themselves visible to others or the public,0
American Heart Association,"This might include, for example, a webpage or parts of webpages operated by children that have been designed for group or public viewing, or photos of themselves involved in our programs or other activities",0
American Heart Association,"Regardless of what is displayed or submitted, parents can revoke their consent, request that information about their children be hidden or, in some cases, deleted",1
American Heart Association,"Request that information about their children be hidden or, in some cases, deleted, by contacting our offices by phone at the number at the bottom of this page or via email",1
IT SYSTEM,We do not collect or require users to enter their personal information when using our Products. We do not collect any personal information from children with our Products,0
IT SYSTEM,"When a user identifies himself or herself as a child under the age of 13 through a support request or through any feedback, we will not collect, store or use, and will delete in a secure manner, any personal information of such user",1
Pazu Games,We do not knowingly collect personally identifiable information from anyone under the age of 18,0
Pazu Games,"If we become aware that we have collected Personal Data from children without verification of parental consent, we take steps to remove that information from our servers",1
Pazu Games,"If you are a parent or guardian and you are aware that your Child has provided us with Personal Data, please contact us",1
Oleg,I do not knowingly collect personally identifiable information from children under 13 years of age,0
Oleg,"If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact me so that I will be able to do the necessary actions",1
Grapefrukt,No user-identifiable data is kept,0
